year,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Australia,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Bermuda,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Cabo Verde,Cameroon,Canada,Channel Islands,Chile,China,"China, Hong Kong SAR",Colombia,Comoros,Congo,"Congo, Dem. Rep. of the",Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Is.(Malvinas),Faroe Islands,Fiji,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Honduras,Iceland,India,Indonesia,Iran (Islamic Rep. of),Ireland,Isle of Man,Israel,Italy,Japan,Jordan,Kenya,Kiribati,"Korea, Republic of",Latvia,Lebanon,Liberia,Libya,Lithuania,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States),Montenegro,Morocco,Mozambique,Namibia,Nauru,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russian Federation,Saint Helena/Asc./Trist.,Saint Lucia,Saint Vincent/Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Slovenia,Solomon Islands,South Africa,Spain,Sri Lanka,St. Pierre and Miquelon,Sudan,Sudan (former),Suriname,Sweden,Syrian Arab Republic,Taiwan Province of China,"Tanzania, United Rep. of",Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,US Virgin Islands,Vanuatu,Venezuela (Boliv Rep of),Yemen,Yugoslavia SFR,Zanzibar
1950,,300,0,800,,1000,2000,,,,100,5100,0,,,1500,,,0,,0,300,0,400,0,500,0,0,,,0,0,100,,1000,,,2300,,,,,,,,,,0,,0,17600,,,,,,900,,1000,0,,,,,0,,,0,100,30000,1000,,2200,0,100,2500,100700,,,,11500,,,0,,,605,2200,,100,,200,,,,,,,600,0,0,,200,,1000,,1300,12000,,9600,,,0,,1300,300,,3100,0,,,,,,0,,,,,0,,0,1000,,,,1100,10800,2047,0,,,,400,,9000,0,2000,,,,100,,,,,,29400,2613,700,,0,2500,1000,300,
1951,,100,0,1000,,1100,2000,,,,100,4500,0,,,1500,,,0,,0,700,0,400,0,500,0,0,,,0,0,100,,1000,,,1900,,,,,,,,,,0,,0,18600,,,,,,1400,,900,0,,,,,0,,,0,100,30000,4806,,3700,0,200,2500,85700,,,,11500,,,0,,,642,2200,,100,,200,,,,,,,500,0,0,,200,,1100,,1300,14400,,9600,,,0,,1100,100,,2400,0,,,,,,0,,,,,0,,0,1000,,,,500,11600,3348,0,,,,0,,10000,0,2000,,,,100,,,,,,35300,2757,700,,0,2500,1000,300,
1952,,200,0,800,,1600,2800,,,,100,4600,0,,,1500,,,0,,0,500,0,700,0,700,0,0,,,0,0,300,,1000,,,2000,,,,,,,,,,0,0,0,20400,,,,,,1300,,500,0,,,,,0,,,0,200,38000,5500,,4600,0,200,3000,89100,,,,13000,,,0,,,681,2200,,100,,200,,,,,,,500,0,0,,200,,1000,,1300,15300,,11400,,,0,,2500,500,,2300,0,,,,,,0,,,,,0,,0,1000,,,,500,10100,2481,0,,,,0,,11000,0,2000,,,,100,,,,,,35100,3258,700,,0,1200,1600,300,
1953,,200,0,1000,,2900,3500,,,,100,4400,0,,,1500,,,0,,0,500,0,600,0,700,0,0,,,0,0,300,,1000,,,1400,,,,,,,,,,0,100,0,22200,,,,,,1000,,1000,0,,,,,0,,,0,300,15900,5600,,2800,0,100,3500,94700,,,,10500,,,0,,,721,2200,,100,,400,,,,,,,600,0,0,,300,,900,,1300,15500,,12600,,,0,,3100,800,,3000,0,,,,,,0,,,,,0,,0,1000,,,,500,10800,1615,0,,,,0,,12100,0,2200,,,,100,,,,,,32800,3135,700,,0,1300,1600,200,
1954,,500,0,600,,2400,3900,,,,100,3700,0,,,2500,,,0,,100,800,0,700,0,800,0,0,,,0,0,300,,1000,,,1100,,,,,,,,,,0,300,0,21900,,,,,,1300,,1000,0,,,,,0,,,0,300,16000,5917,,3600,0,200,3500,102900,,,,9200,,,0,,,761,2200,,123,,400,,,,3600,,,600,0,0,,300,,1400,,1500,18800,,11400,,,0,,4500,1000,,2200,0,,,,,,0,,,,,0,,0,1000,,,,1000,10900,3100,0,,,,0,,12300,0,2300,,,,100,,,,,,31800,2922,800,,0,1500,1600,200,
1955,,300,0,600,,2200,2100,,,,0,4800,0,,,2600,,,0,,200,400,0,800,0,800,0,0,,,0,0,300,,1100,,,1200,,,,,,,,,,0,100,0,22100,,,,,,1100,,1300,0,,,,,0,,,0,400,20400,6117,,3200,0,100,3800,97200,,,,10800,,,0,,,803,2200,,14,,400,,,,3800,,,600,0,0,,200,,1300,,1500,19100,,13600,,,0,,2500,1300,,2200,0,,,,,,0,,,,,0,,0,1000,,,,900,10800,2500,0,,,,0,,12900,0,1600,,,,100,,,,,,32600,2745,800,,0,1800,2000,200,
1957,,300,0,700,,4100,2300,,,,100,5700,0,,,4200,,,0,,200,400,0,800,0,700,0,0,,,0,0,500,,500,,,1200,,,,0,,,,,,0,100,0,23600,,,,,,1200,,1300,0,,,,,0,,,0,600,23100,6122,,2900,0,100,4000,93800,,,,12200,,,0,,,890,2200,,119,,400,,,,4500,,,600,0,0,,200,,1800,,1500,20900,,20400,,,0,,3500,600,,2100,0,,,,,,0,,,,,0,,0,1000,400,,,1900,14100,3900,0,,,,300,,16500,0,3100,,,,200,,200,,,,33300,3846,800,,0,1800,1000,400,
1958,,300,0,900,,4800,2300,,,,100,5700,0,,,4200,,,0,,300,300,0,900,0,800,100,0,,,0,0,500,,500,,,1600,,,,0,,,,,,0,300,0,24500,,,,,,1800,400,1700,0,0,,,,0,,,0,800,24300,6221,,2900,0,100,3900,82900,,,,10200,,,0,,,912,2200,,128,,400,,,,5600,,,700,0,0,,400,,1900,,1500,27100,,11000,,,0,,3400,0,,2000,0,,,,,,0,,,,,0,,0,1000,400,,,2100,14200,4300,0,,,,300,,17400,0,2700,,,,200,,600,,,,33400,4369,1000,,0,1700,1000,300,
1959,,300,0,1000,,4000,2000,,,,100,5800,0,,,4500,,,0,,100,800,0,700,0,1200,200,0,,,0,0,500,,1200,,,1100,,,,0,,,,,,0,600,0,24500,,,,,,1500,400,2100,0,0,,,,0,,,0,1000,23500,5922,,2700,0,100,3800,86000,,,,7600,,,0,,,970,2200,,124,,500,,,,4600,,,600,0,0,,500,,2000,,1500,22000,,11400,,,0,,4200,400,,2400,0,,,,,,0,,,,,0,,0,2000,400,,,2000,15400,4300,0,,,,300,,16500,0,2800,,,,200,,500,,,,31200,4478,500,,0,1900,1200,300,
1960,,500,0,800,,3400,2300,,,,100,5800,0,,,5200,,,0,,100,500,0,600,0,1200,200,0,,,0,0,1000,,1200,,,1000,,,,100,,,,,,0,500,0,26300,,,,,,1500,600,2500,0,0,,,,0,,,0,800,35600,6117,,3200,0,100,3800,83900,,,,10900,,,0,,,1030,2700,,119,,400,,,,4700,,,700,0,0,,500,,2000,,2000,30000,,13200,,,0,,7200,800,,2200,0,,,,,,0,,,,,0,,0,2000,400,,,1800,14100,5000,46,,,,400,,17100,0,4300,,,,200,,500,,,,29340,2795,1500,,0,2000,1000,300,
1961,,500,0,900,,2900,2100,,,,100,6700,0,,,5900,,,0,,200,800,0,400,0,1400,200,0,,,0,0,1000,,1000,,,1400,,,,100,,,,,,0,100,0,27300,,,,,,1800,900,2000,0,0,,,,0,,,0,500,33600,7900,,1600,0,100,4300,78300,,,,8700,,,0,,,1075,2900,,125,,200,,,,3600,,,700,0,0,,400,,2000,,1800,48424,,11000,,,0,,3700,500,,2200,0,,,,,,0,,,,,500,,0,300,600,,,2300,14300,5000,122,,,,400,,18900,0,4000,,,,200,500,600,,,,28014,2818,1000,,0,1900,1000,200,
1962,,400,0,800,,3900,2400,,,,100,5700,0,,,7600,,,0,,200,100,0,400,0,1900,300,0,,,0,0,1000,,1500,,,1100,,,,100,,,,,,0,800,0,26300,,,,,,1200,200,1300,0,0,,,,0,,,0,500,40800,8200,,1500,0,100,3700,81500,,,,9900,,,0,,,1121,2900,,122,,200,,,,5400,,,700,0,0,,400,,2300,,2100,41016,,13600,,,0,,5300,700,,2200,0,,,,,,0,,,,,500,,0,300,600,,,2300,10800,8000,98,,,,300,,19700,0,4500,,,,200,500,1300,,,,23423,2403,1000,,0,2000,1000,200,
1963,,0,0,400,,6200,3100,,,,0,5600,0,,,8800,,,0,,300,100,0,500,0,2000,200,0,,,0,0,1000,,1400,,0,1100,,,,100,,0,,,,0,800,0,28100,,,,,,1500,3700,1300,0,0,,,,0,,,0,400,43000,8500,,1500,0,100,3800,77400,,,,9400,,,0,,,1167,3900,,134,,200,,,,3500,,,900,0,0,,600,,2100,,2200,51563,,16000,,,0,,5100,300,,2500,0,,,,,,0,,,,,500,,0,300,600,,,2300,11200,8000,57,,,,300,,17200,0,5100,,,,200,500,400,,,,23478,2356,1000,,0,2200,1000,200,
1964,,500,0,500,,6900,3000,,,,0,6400,0,,,10600,,,0,,300,1200,0,600,0,1600,200,0,,,0,100,1000,,1200,,0,1400,,0,,300,,0,,,400,0,1214,0,29900,,,,,,1600,2400,1400,18,0,,,,0,,,0,500,34900,8800,,1500,0,100,4600,68900,,,,12600,,,0,,,1215,4300,,120,,400,,,,4400,,,1300,0,0,,500,,2000,,3300,45660,,24000,,,0,,6100,100,,2600,0,,,,,,0,,,,,500,,0,200,600,,,0,13600,9000,140,,,,300,,18800,0,5800,,,,200,600,300,,,,25716,3048,1600,,0,2300,1000,100,
1965,,200,0,600,,7200,4800,,,,,5500,0,,,9500,,,0,,200,500,0,400,0,1600,200,0,,,0,200,500,,1300,,0,1500,,0,,200,,0,,,300,0,1088,0,34900,,,,,,1500,4800,1400,3,,,,,0,,,0,300,31400,9900,,1400,0,100,5000,67000,,,,16500,,,0,,,1263,4400,,128,,400,,,,5100,,,1200,0,0,,800,,2200,,3400,32345,,28000,,,0,,7600,0,,5000,0,,,600,,,0,,,,,1800,,0,200,700,,,500,11400,8000,114,,,,300,,20100,0,12400,,,,300,800,700,,,,24750,2860,2000,,0,2000,800,400,
1966,,300,0,700,,7700,5300,,,,,4400,0,,,10600,,,0,,200,700,0,500,0,1500,200,0,,,0,200,1000,,700,,100,1800,,0,,200,,0,,,1600,0,714,0,36300,,,,,,1900,5200,1400,6,,,,,0,,,0,300,37400,10800,,1300,0,100,6000,71100,,,,6300,,,0,,,1313,5800,,112,,400,,,,5300,,,900,0,,,500,,2200,,3600,28473,,45600,,,0,,9900,0,,3700,0,,,400,,,0,,,,,800,,0,200,1100,,,700,11500,8000,111,,,,300,,22900,0,12800,,,,300,800,1200,,,,24474,2742,1100,,0,2100,800,400,
1967,,300,0,700,,10100,6100,,,,,4100,0,,,13000,,,0,,200,700,0,900,0,1800,300,0,,200,0,100,1000,,1300,,100,1500,,0,,200,,100,,,2000,0,589,0,33100,,,,,,1700,400,1400,0,,,,,0,,,0,400,29600,10112,,1300,0,100,4800,67600,,,,5600,,,0,,,1395,6300,,114,,500,,,,6500,,,1000,0,,,500,,2000,,4000,26900,,52200,,,0,,19600,0,,5300,0,,,0,,,0,,,,,1300,,0,200,1100,,,800,10900,9600,147,,,,600,,26000,0,8000,,,,300,700,10600,,,,25561,2614,800,,0,2200,1200,400,
1968,,100,0,600,,13700,6100,,,,,4700,0,,,12500,,,0,,200,900,0,600,0,2900,200,0,,200,0,0,1000,,2800,,100,1400,,0,,200,,300,,,1500,0,662,0,27400,,,,,,1500,1400,1600,0,,,,,0,,,0,600,31100,10900,,1600,0,0,4700,56000,,,,18000,,,0,,,1477,5900,,128,,100,,,,6300,,,900,0,,,600,,2000,,4000,32869,,52000,,,0,,24700,1100,,4200,0,,,400,,,0,,,,,1200,,0,100,1100,,,200,11100,9636,98,,,,400,,33200,0,12300,100,,,300,800,6900,,,,25825,1600,1000,,0,2400,1200,400,
1969,,100,0,900,,10800,7200,,,,100,4800,0,,,11400,,,0,,200,400,0,400,0,3200,100,0,,100,0,200,900,,2600,,100,2000,,0,,200,,300,,,1300,0,865,0,39100,,,,,,1800,2300,1600,299,,,,,0,,,0,600,35400,11800,,1700,0,0,4500,59200,,,,18900,,,0,,,1561,5400,,135,,100,,,,8900,,,1500,0,,,500,,2000,,3700,42263,,50000,,,0,,14700,500,,5800,0,,,0,,,0,,,,,1000,,0,100,1100,,,200,9900,10666,185,,,,400,,32700,0,18800,100,,,300,800,5300,,,,23800,1531,1800,,0,2900,1200,400,
1970,0,200,0,1100,,8700,7800,0,,,100,4100,0,335,,12600,,,0,,1200,600,0,300,0,2300,300,,65,100,30,100,500,,2400,,60,2000,,0,,228,,300,,,1700,0,205,0,28017,,,,,,1200,1500,0,275,0,,,0,0,,,0,500,44100,10100,,1700,0,108,4807,61544,,,0,16300,,0,100,,,1675,6050,300,100,,100,2640,0,,9100,,,1203,0,0,,400,,2600,,8300,43546,0,53600,,,0,,19000,6900,0,1900,0,,,10,,,0,,,,0,900,,100,212,1100,,0,200,7500,9400,359,,,,300,,36300,0,11400,108,,,200,639,2498,,,0,22400,1700,1800,,0,2600,1300,282,
1971,0,178,0,1300,,10600,7400,0,,,100,3900,0,509,,12600,,,0,,1081,900,0,1300,0,2200,200,,38,100,30,400,500,,2600,,42,2600,,0,,267,,300,,,2600,0,231,0,25021,,,,,,1600,1000,0,359,0,,,0,0,,,0,600,41300,10300,,1700,0,98,4988,53032,,,0,14400,,0,100,,,1790,5900,400,23,,100,2640,0,,9000,,,1607,0,0,,700,,3100,,9357,29750,0,52800,,,0,,11300,7300,0,2500,0,,,101,,,0,,,,0,1300,,100,132,300,,0,200,7500,7400,302,,,,400,,39700,3200,12500,104,,,400,715,5547,,,0,26305,1500,1900,,0,2700,1400,576,
1972,0,200,0,700,,9900,7400,0,,,100,3400,0,488,,8200,,,0,,630,500,0,1900,0,2200,700,,42,100,30,300,488,,2500,,35,3400,,0,,212,,300,,,1100,0,267,0,25700,,,,,,1700,1400,0,15,0,,,0,0,,,0,300,45200,9281,,1500,0,172,5459,51956,,600,0,18200,,0,100,,,1821,6020,1000,123,,100,1000,0,,8400,,,1192,0,0,,800,,2400,,10193,35887,0,71600,,,0,,10500,8200,0,2052,0,,,62,,,0,,,,0,2400,,100,129,400,,0,300,13704,9459,299,,,,400,,41400,4200,14400,103,,,400,1518,4046,,,0,26635,1000,1900,,0,2800,1600,270,
1973,0,200,0,361,,13700,3000,0,,,100,4300,0,310,,25500,,,0,,969,5700,0,1600,0,1800,800,,0,100,30,400,691,,3000,,26,2700,,0,,170,,300,,,400,0,771,0,27365,,,,,,1900,2681,0,0,0,,,0,0,,,0,500,60000,16300,,1500,0,716,4575,49358,,300,0,19300,,0,100,,,1849,7040,500,20,,100,1500,0,,14100,,,1121,0,0,,800,,2600,,10447,33514,0,87600,,,0,,21500,9000,4150,2729,0,,,100,,,0,,,,0,3000,,100,147,400,,0,400,0,13400,211,,,,300,,38100,3300,13600,102,,,500,1434,1000,,,0,25952,1800,1700,,0,3600,1600,329,
1974,0,200,0,361,,14300,4309,0,,,100,3329,0,159,,19393,,,0,,559,2348,50,892,0,2096,751,,27,100,30,527,649,,3500,,22,2423,,48,,165,,300,,,500,0,444,0,25582,,,,,,691,3887,0,0,0,,,0,0,,,0,382,60056,18481,,1731,0,126,5061,45313,,200,0,18874,,0,100,,,1875,7350,1000,65,,325,1957,0,,16544,,,1405,0,0,,981,,3519,,11219,30777,0,42558,,,0,,16735,9437,4223,2237,0,,,111,,,0,,,,0,3284,,150,167,252,,0,306,600,11800,178,,,,280,,45787,2940,13700,89,,,449,1517,2407,,,0,23847,2241,2400,,0,3267,2229,461,
1975,0,238,0,221,,13947,2897,0,,,164,2889,0,76,,19819,,,0,,549,1554,75,682,0,1831,819,,33,100,30,552,640,,4200,,20,3064,,13,,89,,300,,,30,0,317,0,23931,,,,,,658,11478,0,0,0,,,0,0,,,0,262,60976,26961,,1758,0,130,4771,46198,,293,0,22452,,0,100,,,1902,7671,1000,57,,102,803,0,,14332,,,1335,0,0,,630,,3047,,12520,35925,0,44744,,,0,,14591,10408,115,4372,0,,,27,,,0,,,26,0,3307,,100,167,218,,0,534,1016,9800,202,,,,237,,62440,3702,12104,125,,,375,1621,366,,,0,26638,1717,3070,,0,3597,2333,543,
1976,0,221,0,572,,10582,4505,0,,,196,2886,0,60,,16037,,,0,,479,2713,75,876,0,1245,604,,42,79,30,496,630,,3900,,12,2093,,25,,151,,300,,,100,0,535,0,26664,,,,,,588,2438,0,0,0,,,0,0,,,0,508,49107,28719,,1939,0,89,5608,52882,,417,0,18647,,0,100,,,1970,10697,800,72,,202,929,0,,13998,,,1453,0,0,,551,,4351,,19391,24873,0,44694,,,0,,10676,9065,82,3756,0,,,157,,,0,,,42,0,4230,,150,112,270,,0,1149,745,11700,124,,,,378,38,59968,3572,11439,200,,,430,969,1541,,,0,26735,4055,3003,,0,3469,3564,553,
1977,0,402,0,414,,9618,6856,0,,,120,2615,0,55,,15222,,,0,,488,4769,81,1739,0,1172,367,,49,18,30,747,767,,4500,,21,2109,,4,,72,,300,,,14,0,578,0,23337,,,,1412,,342,1877,0,0,255,,,0,0,,,0,549,45587,29485,,1791,0,299,5631,59714,,363,0,17381,,0,100,,,2041,10967,2000,101,,144,885,6,,15645,,,1509,0,0,,555,,5310,,19915,21960,0,68634,,,0,,13848,8875,356,3911,0,,,1,,,0,,,36,0,5120,,110,197,269,,0,1037,149,8500,155,,,,359,39,56383,2855,12198,270,,,543,972,1940,,,0,27442,4725,2144,,0,4137,3071,511,
1978,0,546,0,1107,,12478,7996,0,,,140,3305,0,44,,14722,,,3,,512,5700,81,2550,0,1118,417,,88,0,4,846,1016,,2700,,16,2283,,8,,259,,300,,,0,0,392,0,27817,,,,831,,778,1131,0,0,19,,,0,0,,,0,515,49850,30337,,1484,0,110,4826,51181,,772,0,18193,,0,119,,,2110,12023,2500,80,,163,2065,16,,21542,,,1619,0,0,,513,,4152,,20312,21520,0,61826,,,0,,15585,14275,269,2435,0,,,5,,,0,,7,52,,3777,,100,1336,693,,0,1661,3667,9400,173,,,,937,41,48061,4606,9775,270,,,624,838,2953,,,0,27195,5880,1707,,0,3853,3282,480,
1979,0,490,0,282,,9966,7541,0,,,169,2950,0,8,10,21906,,,0,,517,8564,61,2319,0,1649,183,,75,0,26,782,1131,,2500,,12,2429,,8,,228,,300,,,0,0,625,0,31943,,,,639,,433,1695,0,0,12,,,0,0,,,0,462,40949,31401,,1672,237,124,4535,53010,,457,,18995,,0,680,,,2214,10270,2000,91,,229,4030,27,,24633,,,1560,0,0,,824,,4377,,20905,19979,0,65382,,,0,,13827,8965,995,3235,0,,,14,,,0,,10,37,,3285,,65,657,717,,0,2985,924,9600,70,,,,788,31,43688,4429,9349,42,,,379,857,15188,,,0,23936,11058,1255,,0,6920,3151,404,
1980,0,610,0,209,,11261,9405,0,,,22,2545,0,15,18,23321,,,0,,529,7809,72,5109,0,1459,316,,95,0,27,590,510,,3077,,19,1636,,23,,122,,300,,,0,0,710,0,35267,,,,913,,226,1228,0,0,6,,,0,0,,,0,281,49656,42855,,1844,186,97,5124,54298,,809,,18029,,,337,,,2324,9575,2800,78,,245,13,13,,26551,,,1596,0,0,,525,,6590,,21476,15572,0,47490,,,0,,13277,9698,968,4095,0,,,22,,,0,,10,27,,3282,,75,212,597,,0,1737,2052,10600,288,,,,408,30,52260,2849,9456,104,,,368,870,5882,,,,21355,11221,1420,,0,5041,1772,489,
